raw_rank,name,slug,parent,category,eth_tvl_usd,verdict,reason,github_orgs,audit_links,listed_at
65,ether.fi Liquid,ether.fi-liquid,parent#ether-fi,Onchain Capital Allocator,456700939,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,,1712171943
66,Aave V4,aave-v4,parent#aave,Lending,423017789,review,sibling version of Aave V3 (separate codebase?),,https://aave.com/security,1774886314
67,World Chain,world-chain,,Canonical Bridge,411055404,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
68,SwissBorg,swissborg,,CEX,388105756,drop,category CEX is not a DeFi protocol with its own contracts,,,1668784560
69,Gauntlet,gauntlet,,Risk Curators,371704304,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1747734127
70,Re,re,,RWA,368569293,review,borderline category: RWA,,https://hacken.io/audits/re-protocol/,1766447067
71,cap,cap,,Lending,365944228,keep,,cap-labs-dev,https://github.com/cap-labs-dev/cap-audits,1755167300
72,Defi Saver Asset Management,defi-saver-asset-management,parent#defi-saver,CDP Manager,356334920,keep,,,https://consensys.net/diligence/audits/2021/03/defi-saver/,
73,Anemoy Capital,anemoy-capital,,RWA,350245228,review,borderline category: RWA,,,1733763997
74,Nexo,nexo,,CEX,327147139,drop,category CEX is not a DeFi protocol with its own contracts,,,1673713595
75,Dolomite,dolomite,,Lending,321770280,keep,,dolomite-exchange,https://github.com/dolomite-exchange/dolomite-margin/blob/master/docs/Dolomite%20Margin%20-%20Cyfrin%20-%202023-08-23.pdf;https://github.com/dolomite-exchange/dolomite-margin/blob/master/docs/Dolomite%20Margin%20-%20SECBIT%20-%202021-08-02.pdf,1666000576
76,Upshift,upshift,,Onchain Capital Allocator,278666176,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,https://docs.upshift.finance/architecture/smart-contract-audits,1733311923
77,Mellow Core,mellow-core,parent#mellow-protocol,Onchain Capital Allocator,278599227,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,https://docs.mellow.finance/security,1769604099
78,xDAI Stake Bridge,xdai-stake-bridge,,Canonical Bridge,275901886,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
79,Bitkub,bitkub,,CEX,271564479,drop,category CEX is not a DeFi protocol with its own contracts,,,1734606794
80,Linea Bridge,linea-bridge,,Canonical Bridge,264282510,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
81,Aave Horizon RWA,aave-horizon-rwa,parent#aave,Lending,263198781,review,sibling version of Aave V3 (separate codebase?),,https://github.com/aave/aave-v3-horizon/tree/main/audits,1765304701
82,Fluid Lite,fluid-lite,parent#fluid,Yield Aggregator,251128445,review,borderline category: Yield Aggregator; sibling version of Fluid Lending (separate codebase?),,,
83,Starknet Bridge,starknet-bridge,,Canonical Bridge,247446703,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
84,Stader,stader,,Liquid Staking,239933623,keep,,stader-labs,https://www.staderlabs.com/docs-v1/category/auditors;https://kp5hfcaxs2prkdoscwibtrbjjddvoov3huhezsxknanxfaucm76a.arweave.net/U_pyiBeWnxUN0hWQGcQpSMdXOrs9DkzK6mgbcoKCZ_w;https://github.com/HalbornSecurity/PublicReports/blob/master/CosmWasm%20Smart%20Contract%20Audits/Stader_Labs_LunaX_Contrracts_CosmWasm_Smart_Contract_Security_Audit_Report_Halborn_Final.pdf,1639811716
85,Cooler Loans,cooler-loans,,Lending,235344245,keep,,,,1771638877
86,Fluid DEX,fluid-dex,parent#fluid,Dexs,218572875,review,sibling version of Fluid Lending (separate codebase?),,,1730732495
87,CIAN Yield Layer,cian-yield-layer,parent#cian-protocol,Yield Aggregator,213528601,review,borderline category: Yield Aggregator,,,1731945961
88,KPK,kpk,,Risk Curators,200803238,drop,category Risk Curators is not a DeFi protocol with its own contracts,karpatkey,,1760637747
89,Liquity V1,liquity-v1,parent#liquity,CDP,197811428,keep,,,https://github.com/trailofbits/publications/blob/master/reviews/Liquity.pdf;https://www.coinspect.com/liquity-audit/,
90,M0,m0,,Stablecoin Issuer,197147618,keep,,,https://docs.m0.org/portal/technical/audits,1728953339
91,WEEX,weex,,CEX,194385441,drop,category CEX is not a DeFi protocol with its own contracts,,,1767387349
92,DigiFT,digift,,RWA,190575761,review,borderline category: RWA,,,1695992751
93,Yearn Finance,yearn-finance,parent#yearn,Yield Aggregator,178781514,review,borderline category: Yield Aggregator,,https://github.com/yearn/yearn-security/tree/master/audits,
94,OSL Exchange,osl-exchange,,CEX,172504678,drop,category CEX is not a DeFi protocol with its own contracts,,,1768319453
95,Fraxtal,fraxtal,,Chain,169761323,drop,category Chain is not a DeFi protocol with its own contracts,,,
96,Unit,unit,,Bridge,163567492,drop,category Bridge is not a DeFi protocol with its own contracts,,,1739557972
